day,method,case,t_idx,load_kw
2023-07-01,Persistence,Charger,20,26.4
2023-07-01,Persistence,Charger,21,26.4
2023-07-01,Persistence,Charger,22,26.4
2023-07-01,Persistence,Charger,23,26.4
2023-07-01,Persistence,Charger,24,26.4
2023-07-01,Persistence,Charger,25,17.184
2023-07-01,Persistence,Charger,26,26.4
2023-07-01,Persistence,Charger,27,26.4
2023-07-01,Persistence,Charger,28,39.6
2023-07-01,Persistence,Charger,29,30.232
2023-07-01,Persistence,Charger,30,33.0
2023-07-01,Persistence,Charger,31,33.0
2023-07-01,Persistence,Charger,32,52.8
2023-07-01,Persistence,Charger,33,46.2
2023-07-01,Persistence,Charger,34,46.728
2023-07-01,Persistence,Charger,35,52.8
2023-07-01,Persistence,Charger,36,78.4408
2023-07-01,Persistence,Charger,37,78.4408
2023-07-01,Persistence,Charger,38,78.4408
2023-07-01,Persistence,Charger,39,71.568
2023-07-01,Persistence,Charger,40,75.9416
2023-07-01,Persistence,Charger,41,78.4408
2023-07-01,Persistence,Charger,42,74.572
2023-07-01,Persistence,Charger,43,83.5242
2023-07-01,Persistence,Charger,44,78.32
2023-07-01,Persistence,Charger,45,46.952
2023-07-01,Persistence,Charger,46,59.4
2023-07-01,Persistence,Charger,47,76.812
2023-07-01,Persistence,Charger,48,74.7478
2023-07-01,Persistence,Charger,49,79.2
2023-07-01,Persistence,Charger,50,83.5242
2023-07-01,Persistence,Charger,51,84.098642
2023-07-01,Persistence,Charger,52,86.268999
2023-07-01,Persistence,Charger,53,86.268999
2023-07-01,Persistence,Charger,54,86.268999
2023-07-01,Persistence,Charger,55,85.922292
2023-07-01,Persistence,Charger,56,66.228922
2023-07-01,Persistence,Charger,57,51.792785
2023-07-01,Persistence,Charger,58,69.784
2023-07-01,Persistence,Charger,59,76.668364
2023-07-01,Persistence,Charger,60,64.944
2023-07-01,Persistence,Charger,61,39.6
2023-07-01,Persistence,Charger,62,42.771358
2023-07-01,Persistence,Charger,63,42.768
2023-07-01,Persistence,Charger,64,52.8
2023-07-01,Persistence,Charger,65,27.1592
2023-07-01,Persistence,Charger,66,27.1592
2023-07-01,Persistence,Charger,67,16.6648
2023-07-01,Persistence,Charger,68,15.4312
2023-07-01,Persistence,Charger,69,13.2
2023-07-01,Persistence,Charger,70,19.5264
2023-07-01,Persistence,Charger,71,13.2
2023-07-01,Persistence,Charger,72,19.8
2023-07-01,Persistence,Charger,73,27.8464
2023-07-01,Persistence,Charger,74,27.8464
2023-07-01,Persistence,Charger,75,27.8464
2023-07-01,Persistence,Charger,76,27.3304
2023-07-01,Persistence,Charger,77,27.8464
2023-07-01,Persistence,Charger,78,27.8464
2023-07-01,Persistence,Charger,79,27.8464
2023-07-01,Persistence,Charger,80,27.8464
2023-07-01,Persistence,Charger,81,26.4
