target_day,method,actual_session_count,forecast_session_count,matched_session_count,count_mae_per_charger,arrival_mae_slots,departure_mae_slots,energy_mae_kwh,arrival_upper_coverage,departure_lower_coverage,energy_upper_coverage
2023-08-24,HistoricalMedian,10.0,9.0,7.0,0.8333333333333334,13.285714285714286,12.285714285714286,7.4536428571428575,1.0,0.8571428571428571,0.8571428571428571
2023-08-24,ConformalRobust,10.0,9.0,7.0,0.8333333333333334,19.428571428571427,15.714285714285714,13.684285714285716,,,
2023-08-25,Persistence,9.0,10.0,7.0,0.8333333333333334,17.142857142857142,15.428571428571429,8.395,,,
2023-08-25,HistoricalMedian,9.0,8.0,6.0,0.8333333333333334,14.0,17.666666666666668,10.31,0.8333333333333334,0.6666666666666666,0.8333333333333334
2023-08-25,ConformalRobust,9.0,8.0,6.0,0.8333333333333334,24.333333333333332,17.833333333333332,5.7285,,,
2023-08-26,Persistence,12.0,7.0,7.0,0.8333333333333334,5.571428571428571,7.714285714285714,8.927142857142858,,,
2023-08-26,HistoricalMedian,12.0,10.0,9.0,0.6666666666666666,6.888888888888889,9.222222222222221,4.721666666666668,1.0,0.8888888888888888,1.0
2023-08-26,ConformalRobust,12.0,10.0,9.0,0.6666666666666666,18.11111111111111,11.88888888888889,7.226888888888889,,,
2023-08-27,Persistence,7.0,0.0,0.0,1.1666666666666667,nan,nan,nan,,,
2023-08-27,HistoricalMedian,7.0,8.0,4.0,1.1666666666666667,14.0,12.75,7.6431249999999995,1.0,1.0,0.75
2023-08-27,ConformalRobust,7.0,8.0,4.0,1.1666666666666667,10.5,6.0,12.11825,,,
2023-08-28,Persistence,10.0,7.0,6.0,0.8333333333333334,9.5,8.0,7.820333333333334,,,
2023-08-28,HistoricalMedian,10.0,10.0,9.0,0.3333333333333333,12.777777777777779,13.222222222222221,10.033444444444445,0.8888888888888888,0.7777777777777778,0.6666666666666666
2023-08-28,ConformalRobust,10.0,10.0,9.0,0.3333333333333333,17.333333333333332,9.555555555555555,14.762555555555556,,,
2023-08-29,Persistence,8.0,7.0,4.0,1.1666666666666667,9.5,17.75,9.3305,,,
2023-08-29,HistoricalMedian,8.0,10.0,7.0,0.6666666666666666,3.4285714285714284,8.857142857142858,6.916357142857143,1.0,1.0,0.8571428571428571
2023-08-29,ConformalRobust,8.0,10.0,7.0,0.6666666666666666,18.142857142857142,7.714285714285714,13.089857142857143,,,
2023-08-30,Persistence,8.0,12.0,8.0,0.6666666666666666,4.25,8.0,7.041375,,,
2023-08-30,HistoricalMedian,8.0,13.0,8.0,0.8333333333333334,6.875,7.625,5.253375,0.875,1.0,0.875
2023-08-30,ConformalRobust,8.0,13.0,8.0,0.8333333333333334,13.375,8.625,8.765375,,,
2023-08-31,Persistence,10.0,10.0,8.0,0.6666666666666666,12.75,14.625,9.462375,,,
2023-08-31,HistoricalMedian,10.0,10.0,8.0,0.6666666666666666,11.25,17.5,7.491062499999999,0.75,1.0,0.875
2023-08-31,ConformalRobust,10.0,10.0,8.0,0.6666666666666666,16.75,15.375,15.1815,,,
2023-09-01,Persistence,9.0,9.0,6.0,1.0,15.166666666666666,18.5,14.338333333333333,,,
2023-09-01,HistoricalMedian,9.0,11.0,8.0,0.6666666666666666,8.25,11.0,11.246625,1.0,1.0,0.625
2023-09-01,ConformalRobust,9.0,11.0,8.0,0.6666666666666666,13.25,6.75,16.801375,,,
2023-09-02,Persistence,6.0,12.0,6.0,1.0,5.833333333333333,4.5,3.183166666666667,,,
2023-09-02,HistoricalMedian,6.0,11.0,5.0,1.1666666666666667,5.8,6.2,2.3567,1.0,1.0,1.0
2023-09-02,ConformalRobust,6.0,11.0,5.0,1.1666666666666667,18.4,12.4,4.8208,,,
2023-09-03,Persistence,6.0,7.0,6.0,0.16666666666666666,14.5,14.166666666666666,8.788333333333334,,,
2023-09-03,HistoricalMedian,6.0,7.0,6.0,0.16666666666666666,7.666666666666667,7.666666666666667,7.923333333333333,0.8333333333333334,1.0,0.8333333333333334
2023-09-03,ConformalRobust,6.0,7.0,6.0,0.16666666666666666,13.333333333333334,9.0,6.710166666666667,,,
2023-09-04,Persistence,6.0,10.0,6.0,0.6666666666666666,24.333333333333332,18.0,8.360999999999999,,,
2023-09-04,HistoricalMedian,6.0,10.0,6.0,0.6666666666666666,16.666666666666668,11.333333333333334,5.747583333333332,0.5,1.0,1.0
2023-09-04,ConformalRobust,6.0,10.0,6.0,0.6666666666666666,8.666666666666666,9.0,4.713,,,
2023-09-05,Persistence,6.0,8.0,3.0,1.3333333333333333,2.6666666666666665,6.666666666666667,9.859,,,
2023-09-05,HistoricalMedian,6.0,9.0,5.0,0.8333333333333334,3.8,7.6,5.3884,1.0,1.0,1.0
2023-09-05,ConformalRobust,6.0,9.0,5.0,0.8333333333333334,20.0,5.6,13.107,,,
2023-09-06,Persistence,13.0,8.0,5.0,1.8333333333333333,11.4,12.6,2.6740000000000004,,,
2023-09-06,HistoricalMedian,13.0,12.0,8.0,1.5,4.0,5.375,5.138625000000001,1.0,0.875,1.0
2023-09-06,ConformalRobust,13.0,12.0,8.0,1.5,19.0,7.625,8.61025,,,
2023-09-07,Persistence,10.0,10.0,10.0,0.0,8.3,6.2,5.9893,,,
2023-09-07,HistoricalMedian,10.0,12.0,10.0,0.3333333333333333,4.1,11.6,5.91635,1.0,1.0,0.9
2023-09-07,ConformalRobust,10.0,12.0,10.0,0.3333333333333333,15.5,10.5,11.896899999999999,,,
